sample	type	H_PeripheralBlood_Normal_SuppressiveMonocyte_25799053
TARGET_20_PAVKKI_03A_01R_RBS	NUP98.Fusion	0.23525019816171655
TARGET_20_PAVLDU_09A_01R_RBS	NPM1	0.6442227162997011
TARGET_20_PAVLJH_09A_01R_RBS	CBFB.MYH11	0.2663197362979652
TARGET_20_PAVLWV_09A_01R_RBS	NPM1	0.24202739159997236
TARGET_20_PAVLYV_03A_01R_RBS	KMT2A.Fusion	0.3115581143970416
TARGET_20_PAVMEH_09A_01R_RBS	CEBPA	0.213514375294085
TARGET_20_PAVMNA_09A_01R_RBS	UBTF	0.23015349893113532
TARGET_20_PAVNKI_09A_01R_RBS	CBFB.MYH11	0.20571292895883114
TARGET_20_PAVNUW_03A_01R_RBS	KMT2A.Fusion	0.06603268562037184
TARGET_20_PAVPFR_09A_01R_RBS	RUNX1.RUNX1T1	0.08707801995610982
TARGET_20_PAVPKA_09A_01R_RBS	CBFA2T3.GLIS2	0.505557367999705
TARGET_20_PAVRJP_09A_01R_RBS	KMT2A.Fusion	0.030153876939169856
TARGET_20_PAVRWU_09A_01R_RBS	UBTF	0.18226725185990403
TARGET_20_PAVSAN_09A_01R_RBS	CBFB.MYH11	0.25124057053949855
TARGET_20_PAVSFB_09A_01R_RBS	KMT2A.Fusion	0.5530203883058274
TARGET_20_PAVSVU_09A_01R_RBS	unknown	0.06499534922616208
TARGET_20_PAVTDU_09A_01R_RBS	unknown	0.2690623366752189
TARGET_20_PAVTFI_03A_01R_RBS	CBFA2T3.GLIS2	0.6230995170043633
TARGET_20_PAVTLN_09A_01R_RBS	NPM1.MLF1	0.34994083420431304
TARGET_20_PAVTRM_03A_01R_RBS	NPM1	-0.01539363379364186
TARGET_20_PAVTRU_09A_01R_RBS	NUP98.Fusion	0.44038752227837014
TARGET_20_PAVTRU_09A_01R_replicate	NUP98.Fusion	0.4372731497390489
TARGET_20_PAVUAP_09A_01R_RBS	CBFB.MYH11	0.22364457955394218
TARGET_20_PAVUBN_09A_01R_RBS	SFPQ.ZFP36L2	0.08390625773004327
TARGET_20_PAVUGM_03A_01R_RBS	NUP214.Fusion	0.009914109180530093
TARGET_20_PAVVAM_09A_01R_RBS	RUNX1.RUNX1T1	0.17496424130179658
TARGET_20_PAVVAT_09A_01R_RBS	NUP214.Fusion	0.269853911311187
TARGET_20_PAVVKU_03A_01R_RBS	unknown	0.18888309264150707
TARGET_20_PAVWBW_09A_01R_RBS	KMT2A.Fusion	0.18475487973111646
TARGET_20_PAVWNG_09A_01R_RBS	RBM15.MRTFA	0.34876038397938225
TARGET_20_PAVWRN_09A_01R_RBS	PICALM.Fusion	0.10057329058603404
TARGET_20_PAVWVT_09A_01R_RBS	NUP98.Fusion	0.2680557316200472
TARGET_20_PAVXEB_09A_01R_RBS	ETS.Fusion	0.49171677733129404
TARGET_20_PAVXLY_03A_01R_RBS	KMT2A.Fusion	0.2600358188094822
TARGET_20_PAVZEC_09A_01R_RBS	ETS.Fusion	0.043233868585628485
TARGET_20_PAVZIB_09A_01R_RBS	CEBPA	-0.020501747701064547
TARGET_20_PAWAMB_09A_01R_RBS	NUP98.Fusion	0.2997395901670732
TARGET_20_PAWAMM_03A_01R_RBS	CEBPA	0.5220924094056288
TARGET_20_PAWANV_09A_01R_RBS	CBFB.MYH11	0.3144142155553602
TARGET_20_PAWBSE_09A_01R_RBS	CBFB.MYH11	0.46594516842126354
TARGET_20_PAWBSJ_09A_01R_RBS	RUNX1.RUNX1T1	0.25321239651841254
TARGET_20_PAWCCR_09A_01R_RBS	unknown	-0.12397969436360613
TARGET_20_PAWCJK_09A_01R_RBS	NPM1	0.6028047262553367
TARGET_20_PAWDTX_09A_01R_RBS	unknown	-0.1169364895554725
TARGET_20_PAWEBG_09A_01R_RBS	KMT2A.Fusion	0.1947139315733116
TARGET_20_PAWECG_09A_01R_RBS	unknown	-0.22538464645219797
TARGET_20_PAWEKL_09A_01R_RBS	RUNX1.RUNX1T1	0.3270126262189569
TARGET_20_PAWENM_09A_01R_RBS	CBFB.MYH11	0.1501158804548259
TARGET_20_PAWEYY_09A_01R_RBS	KMT2A.Fusion	0.0385050011328926
TARGET_20_PAWEYY_09A_01R_replicate	KMT2A.Fusion	0.08581059169076172
TARGET_20_PAWFRK_09A_01R_RBS	unknown	-0.05972534067963193
TARGET_20_PAWHCT_09A_01R_RBS	KMT2A.Fusion	-0.027794651573255467
TARGET_20_PAWHFW_09A_01R_RBS	UBTF	0.3110122635418379
TARGET_20_PAWHJI_09A_01R_RBS	KMT2A.Fusion	0.06260220955795556
